#V	#Ninf	#Tau
-100	0.0004188	4.448
-99	0.000468	4.512
-98	0.0005229	4.577
-97	0.0005843	4.645
-96	0.000653	4.715
-95	0.0007296	4.787
-94	0.0008153	4.861
-93	0.0009111	4.937
-92	0.001018	5.015
-91	0.001138	5.096
-90	0.001271	5.18
-89	0.00142	5.266
-88	0.001587	5.355
-87	0.001773	5.447
-86	0.001981	5.542
-85	0.002213	5.64
-84	0.002473	5.742
-83	0.002762	5.847
-82	0.003086	5.955
-81	0.003447	6.067
-80	0.003851	6.184
-79	0.004302	6.304
-78	0.004805	6.429
-77	0.005366	6.558
-76	0.005993	6.692
-75	0.006693	6.831
-74	0.007474	6.976
-73	0.008344	7.125
-72	0.009316	7.281
-71	0.0104	7.442
-70	0.01161	7.609
-69	0.01295	7.782
-68	0.01445	7.963
-67	0.01613	8.15
-66	0.01799	8.344
-65	0.02006	8.545
-64	0.02236	8.754
-63	0.02492	8.971
-62	0.02777	9.196
-61	0.03094	9.429
-60	0.03445	9.671
-59	0.03834	9.921
-58	0.04265	10.18
-57	0.04743	10.45
-56	0.05271	10.72
-55	0.05854	11
-54	0.06497	11.3
-53	0.07205	11.6
-52	0.07985	11.9
-51	0.0884	12.21
-50	0.09777	12.53
-49	0.108	12.86
-48	0.1192	13.18
-47	0.1314	13.51
-46	0.1446	13.84
-45	0.1589	14.17
-44	0.1743	14.5
-43	0.1909	14.82
-42	0.2086	15.13
-41	0.2275	15.44
-40	0.2477	15.72
-39	0.2689	16
-38	0.2913	16.25
-37	0.3148	16.49
-36	0.3392	16.7
-35	0.3646	16.88
-34	0.3907	17.03
-33	0.4174	17.15
-32	0.4447	17.24
-31	0.4723	17.29
-30	0.5009	17.35
-29	0.5277	17.29
-28	0.5553	17.24
-27	0.5826	17.15
-26	0.6093	17.03
-25	0.6354	16.88
-24	0.6608	16.7
-23	0.6852	16.49
-22	0.7087	16.25
-21	0.7311	16
-20	0.7523	15.72
-19	0.7725	15.44
-18	0.7914	15.13
-17	0.8091	14.82
-16	0.8257	14.5
-15	0.8411	14.17
-14	0.8554	13.84
-13	0.8686	13.51
-12	0.8808	13.18
-11	0.892	12.86
-10	0.9022	12.53
-9	0.9116	12.21
-8	0.9202	11.9
-7	0.9279	11.6
-6	0.935	11.3
-5	0.9415	11
-4	0.9473	10.72
-3	0.9526	10.45
-2	0.9573	10.18
-1	0.9617	9.921
0	0.9656	9.671
1	0.9691	9.429
2	0.9722	9.196
3	0.9751	8.971
4	0.9776	8.754
5	0.9799	8.545
6	0.982	8.344
7	0.9839	8.15
8	0.9855	7.963
9	0.987	7.782
10	0.9884	7.609
11	0.9896	7.442
12	0.9907	7.281
13	0.9917	7.125
14	0.9925	6.976
15	0.9933	6.831
16	0.994	6.692
17	0.9946	6.558
18	0.9952	6.429
19	0.9957	6.304
20	0.9961	6.184
21	0.9966	6.067
22	0.9969	5.955
23	0.9972	5.847
24	0.9975	5.742
25	0.9978	5.64
26	0.998	5.542
27	0.9982	5.447
28	0.9984	5.355
29	0.9986	5.266
30	0.9987	5.18
31	0.9989	5.096
32	0.999	5.015
33	0.9991	4.937
34	0.9992	4.861
35	0.9993	4.787
36	0.9993	4.715
37	0.9994	4.645
38	0.9995	4.577
39	0.9995	4.512
40	0.9996	4.448
41	0.9996	4.385
42	0.9997	4.325
43	0.9997	4.266
44	0.9997	4.208
45	0.9998	4.153
46	0.9998	4.098
47	0.9998	4.045
48	0.9998	3.993
49	0.9998	3.943
50	0.9999	3.894
51	0.9999	3.846
52	0.9999	3.799
53	0.9999	3.753
54	0.9999	3.709
55	0.9999	3.665
56	0.9999	3.623
57	0.9999	3.581
58	0.9999	3.54
59	0.9999	3.501
60	1	3.462
61	1	3.424
62	1	3.387
63	1	3.35
64	1	3.315
65	1	3.28
66	1	3.246
67	1	3.212
68	1	3.179
69	1	3.147
70	1	3.116
71	1	3.085
72	1	3.055
73	1	3.025
74	1	2.996
75	1	2.967
76	1	2.939
77	1	2.912
78	1	2.885
79	1	2.859
80	1	2.833
81	1	2.807
82	1	2.782
83	1	2.757
84	1	2.733
85	1	2.709
86	1	2.686
87	1	2.663
88	1	2.641
89	1	2.618
90	1	2.597
91	1	2.575
92	1	2.554
93	1	2.533
94	1	2.513
95	1	2.493
96	1	2.473
97	1	2.453
98	1	2.434
99	1	2.415
