0,0.5,0.4942,0.57,0.4517,0.8778,0.7111,0.7,0.8,0.9333,0.9238,0.6714,0.7,0.7111,0.7778,0.6222,0.6042,0.5167,0.8056,0.6267
0.5,0,0.3635,0.3644,0.3788,0.8833,0.3111,0.5556,0.6667,0.7111,0.5238,0.4267,0.52,0.38,0.7292,0.56,0.03333,0.46,0.425,0.5056
0.4942,0.3635,0,0.2037,0.6259,0.4,0.5056,0.4788,0.9143,0.7278,0.85,0.8444,0.8381,0.9333,1,0.9111,0.775,0.6667,0.85,0.9167
0.57,0.3644,0.2037,0,0.6059,0.6733,0.2778,0.4593,0.8933,0.8444,0.8111,0.48,0.7515,0.6667,0.6667,0.66,1,0.6889,0.6111,0.75
0.4517,0.3788,0.6259,0.6059,0,0.8111,0.85,0.8,0.8889,0.5067,0.9533,0.6867,0.7833,0.9333,0.4667,0.5556,0.4417,0.2667,0.1,0.7778
0.8778,0.8833,0.4,0.6733,0.8111,0,0.2051,0.1581,0.7583,0.8833,0.7133,0.7933,0.95,0.8611,0.96,0.7619,0.6,0.9,0.8056,0.6708
0.7111,0.3111,0.5056,0.2778,0.85,0.2051,0,0.3481,0.5833,0.8074,0.9278,0.8939,0.8542,0.8333,0.7048,0.3889,0.9444,0.7,0.8833,0.88
0.7,0.5556,0.4788,0.4593,0.8,0.1581,0.3481,0,0.4333,0.9333,0.8444,0.8,0.6833,0.6417,0.8444,0.925,0.5667,0.78,0.6833,0.7133
0.8,0.6667,0.9143,0.8933,0.8889,0.7583,0.5833,0.4333,0,0.5115,0.215,0.4765,0.6778,0.2667,0.4333,0.6889,0.6133,0.8667,0.7524,0.3611
0.9333,0.7111,0.7278,0.8444,0.5067,0.8833,0.8074,0.9333,0.5115,0,0.706,0.5061,0.4667,0.7333,0.3067,0.6333,0.4667,0.4815,0.4611,0.5
0.9238,0.5238,0.85,0.8111,0.9533,0.7133,0.9278,0.8444,0.215,0.706,0,0.6264,0.4476,0.4833,0.5167,0.4583,0.82,0.9,0.8571,0.5733
0.6714,0.4267,0.8444,0.48,0.6867,0.7933,0.8939,0.8,0.4765,0.5061,0.6264,0,0.8778,0.7389,0.4722,0.8083,0.7556,0.5167,0.7167,0.6714
0.7,0.52,0.8381,0.7515,0.7833,0.95,0.8542,0.6833,0.6778,0.4667,0.4476,0.8778,0,0.2738,0.2694,0.3105,0.5524,0.4444,0.2267,0.2444
0.7111,0.38,0.9333,0.6667,0.9333,0.8611,0.8333,0.6417,0.2667,0.7333,0.4833,0.7389,0.2738,0,0.2968,0.29,0.6611,0.6333,0.5067,0.2444
0.7778,0.7292,1,0.6667,0.4667,0.96,0.7048,0.8444,0.4333,0.3067,0.5167,0.4722,0.2694,0.2968,0,0.3607,0.8083,0.7148,0.5733,0.5067
0.6222,0.56,0.9111,0.66,0.5556,0.7619,0.3889,0.925,0.6889,0.6333,0.4583,0.8083,0.3105,0.29,0.3607,0,0.4583,0.4083,0.3,0.4111
0.6042,0.03333,0.775,1,0.4417,0.6,0.9444,0.5667,0.6133,0.4667,0.82,0.7556,0.5524,0.6611,0.8083,0.4583,0,0.2986,0.07941,0.1914
0.5167,0.46,0.6667,0.6889,0.2667,0.9,0.7,0.78,0.8667,0.4815,0.9,0.5167,0.4444,0.6333,0.7148,0.4083,0.2986,0,0.2621,0.2603
0.8056,0.425,0.85,0.6111,0.1,0.8056,0.8833,0.6833,0.7524,0.4611,0.8571,0.7167,0.2267,0.5067,0.5733,0.3,0.07941,0.2621,0,0.1788
0.6267,0.5056,0.9167,0.75,0.7778,0.6708,0.88,0.7133,0.3611,0.5,0.5733,0.6714,0.2444,0.2444,0.5067,0.4111,0.1914,0.2603,0.1788,0

