|Run	|Epoch	$RunName	#ACCPos	#ACCNeg	#Gated	#Should	#Match	#ACCPosVM_RT	#ACCPosVM_ActAvg	#VMtxGo_ActAvg	#Rew	#PerTrlMSec
0	0	Base	0.8348	0.3321	0.5078	0.4141	0.6562	0.6363	0.05039	0.2808	0.07031	0
0	1	Base	0.007528	0.1535	0.3359	0.5156	0.7734	0.727	0.03466	0.2479	0.2891	17.13
0	2	Base	0.09033	0.4017	0.375	0.4766	0.8516	0.6988	0.04055	0.2748	0.3281	16.92
0	3	Base	0.5337	0.6624	0.4922	0.5078	0.8906	0.6517	0.05078	0.3023	0.3984	17.11
0	4	Base	0.6147	0.9411	0.5469	0.5625	0.9219	0.6391	0.06256	0.3265	0.4844	17.4
0	5	Base	0.9316	0.8383	0.4766	0.4766	0.9062	0.6529	0.0549	0.3098	0.3828	17.2
0	6	Base	0.4209	0.2139	0.5	0.5156	0.9062	0.6414	0.05811	0.3131	0.4219	17.45
0	7	Base	0.7572	0.4155	0.5078	0.5234	0.8594	0.6397	0.06247	0.3293	0.3828	16.87
0	8	Base	0.1204	0.4583	0.5469	0.5547	0.9141	0.6084	0.06843	0.3426	0.4688	16.92
0	9	Base	0.8713	0.1651	0.5391	0.5312	0.9297	0.5801	0.06904	0.3271	0.4609	17.18
0	10	Base	0.9192	0.932	0.5625	0.4844	0.8594	0.6095	0.06933	0.3401	0.3438	17.29
0	11	Base	0.1204	0.1486	0.4453	0.4922	0.8594	0.6093	0.05795	0.2895	0.3516	17.48
0	12	Base	0.103	0.7698	0.5234	0.5078	0.9375	0.603	0.07114	0.3546	0.4453	17.42
0	13	Base	0.02514	0.8545	0.5234	0.5391	0.8906	0.6012	0.0704	0.3534	0.4297	17.56
0	14	Base	0.4515	0.5608	0.4688	0.4453	0.9297	0.5793	0.0652	0.3111	0.375	17.5
0	15	Base	0.7832	0.9527	0.5547	0.5469	0.9453	0.5712	0.07762	0.3665	0.4922	17.35
0	16	Base	0.8458	0.5663	0.4688	0.4531	0.9375	0.6168	0.06588	0.3652	0.3906	17.22
0	17	Base	0.666	0.7635	0.4922	0.4688	0.8828	0.5748	0.06806	0.3534	0.3516	16.91
0	18	Base	0.3569	0.9879	0.4922	0.4844	0.9453	0.5699	0.07177	0.3482	0.4297	17.01
0	19	Base	0.02381	0.7235	0.5078	0.4688	0.9297	0.5683	0.06982	0.3335	0.3984	16.5
0	20	Base	0.3705	0.1733	0.5469	0.5312	0.9375	0.5144	0.0794	0.3598	0.4688	16.85
0	21	Base	0.8569	0.9785	0.6172	0.5938	0.9297	0.5288	0.09182	0.4236	0.5234	17.32
0	22	Base	0.7128	0.5077	0.5391	0.4844	0.8828	0.5605	0.07782	0.3575	0.3672	16.12
0	23	Base	0.1806	0.7917	0.5078	0.4922	0.9531	0.5634	0.06925	0.3333	0.4453	17.6
0	24	Base	0.04497	0.522	0.5078	0.4688	0.9297	0.5649	0.07257	0.3514	0.3984	16.46
0	25	Base	0.4096	0.07153	0.4062	0.3906	0.9062	0.5908	0.05824	0.3033	0.2969	17.23
0	26	Base	0.03616	0.2128	0.5312	0.4844	0.9062	0.5503	0.07726	0.3619	0.3906	17.91
0	27	Base	0.8305	0.8565	0.5547	0.5469	0.9141	0.5437	0.0833	0.3959	0.4609	15.97
0	28	Base	0.653	0.1001	0.5234	0.4766	0.9062	0.5513	0.07477	0.3512	0.3828	16.02
0	29	Base	0.115	0.04971	0.4609	0.4453	0.9531	0.5732	0.06581	0.3158	0.3984	16.25
